Method,Model,Category,Precision,Recall,F1,LabelThreshold,HistThreshold
model,mature,juvenile,0.776,0.514,0.61839379845,0.30,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.30,0.7
model,juvenile,mature,0.714,0.27,0.391829268293,0.30,0.7
graph,juvenile,mature,0.68,0.23,0.343736263736,0.30,0.7
model,juvenile,juvenile,0.961,0.662,0.78395810228,0.30,0.7
graph,juvenile,juvenile,0.952,0.541,0.689929002009,0.30,0.7
model,mature,mature,0.763,0.392,0.517915151515,0.13,0.9
graph,mature,mature,0.769,0.405,0.530570698467,0.13,0.9
model,mature,juvenile,0.779,0.716,0.746172575251,0.13,0.9
graph,mature,juvenile,0.754,0.622,0.681668604651,0.13,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.13,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.13,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.13,0.9
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.13,0.9
model,mature,mature,0.763,0.392,0.517915151515,0.17,0.9
graph,mature,mature,0.757,0.378,0.504222026432,0.17,0.9
model,mature,juvenile,0.797,0.689,0.739075370121,0.17,0.9
graph,mature,juvenile,0.77,0.635,0.696014234875,0.17,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.17,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.17,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.17,0.9
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.17,0.9
model,mature,mature,0.933,0.189,0.314326203209,0.65,0.3
graph,mature,mature,0.933,0.189,0.314326203209,0.65,0.3
model,mature,juvenile,0.783,0.243,0.370894736842,0.65,0.3
graph,mature,juvenile,0.783,0.243,0.370894736842,0.65,0.3
model,juvenile,mature,0.762,0.216,0.336588957055,0.65,0.3
graph,juvenile,mature,0.737,0.189,0.300848812095,0.65,0.3
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.65,0.3
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.65,0.3
model,mature,mature,0.786,0.446,0.569084415584,0.13,0.7
graph,mature,mature,0.75,0.446,0.559364548495,0.13,0.7
model,mature,juvenile,0.779,0.716,0.746172575251,0.13,0.7
graph,mature,juvenile,0.758,0.635,0.691069633884,0.13,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.13,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.13,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.13,0.7
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.13,0.7
model,mature,mature,0.786,0.446,0.569084415584,0.17,0.7
graph,mature,mature,0.769,0.405,0.530570698467,0.17,0.7
model,mature,juvenile,0.797,0.689,0.739075370121,0.17,0.7
graph,mature,juvenile,0.77,0.635,0.696014234875,0.17,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.17,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.17,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.17,0.7
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.17,0.7
model,mature,mature,0.714,0.27,0.391829268293,0.30,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.30,0.9
model,mature,juvenile,0.776,0.514,0.61839379845,0.30,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.30,0.9
model,juvenile,mature,0.731,0.257,0.38029757085,0.30,0.9
graph,juvenile,mature,0.696,0.216,0.329684210526,0.30,0.9
model,juvenile,juvenile,0.941,0.649,0.768187421384,0.30,0.9
graph,juvenile,juvenile,0.929,0.527,0.672504120879,0.30,0.9
model,mature,mature,0.691,0.635,0.661817496229,0.06,0.9
graph,mature,mature,0.71,0.662,0.685160349854,0.06,0.9
model,mature,juvenile,0.767,0.757,0.761967191601,0.06,0.9
graph,mature,juvenile,0.704,0.676,0.689715942029,0.06,0.9
model,juvenile,mature,0.686,0.324,0.440126732673,0.06,0.9
graph,juvenile,mature,0.677,0.284,0.400141519251,0.06,0.9
model,juvenile,juvenile,0.915,0.73,0.812097264438,0.06,0.9
graph,juvenile,juvenile,0.983,0.77,0.863559612094,0.06,0.9
model,mature,mature,0.71,0.297,0.418808341609,0.29,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.29,0.7
model,mature,juvenile,0.78,0.527,0.629013006886,0.29,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.29,0.7
model,juvenile,mature,0.7,0.284,0.40406504065,0.29,0.7
graph,juvenile,mature,0.643,0.243,0.352706546275,0.29,0.7
model,juvenile,juvenile,0.962,0.676,0.794031746032,0.29,0.7
graph,juvenile,juvenile,0.955,0.568,0.712330925804,0.29,0.7
model,mature,mature,0.765,0.351,0.481209677419,0.21,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.21,0.7
model,mature,juvenile,0.788,0.554,0.650599105812,0.21,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.21,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.21,0.7
graph,juvenile,mature,0.7,0.284,0.40406504065,0.21,0.7
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.21,0.7
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.21,0.7
model,mature,mature,0.867,0.176,0.2926021093,0.60,0.5
graph,mature,mature,0.867,0.176,0.2926021093,0.60,0.5
model,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.5
graph,mature,juvenile,0.783,0.243,0.370894736842,0.60,0.5
model,juvenile,mature,0.762,0.216,0.336588957055,0.60,0.5
graph,juvenile,mature,0.737,0.189,0.300848812095,0.60,0.5
model,juvenile,juvenile,0.917,0.446,0.600120322817,0.60,0.5
graph,juvenile,juvenile,0.906,0.392,0.547229583975,0.60,0.5
model,mature,mature,0.735,0.338,0.463056849953,0.25,0.7
graph,mature,mature,0.704,0.257,0.376541103018,0.25,0.7
model,mature,juvenile,0.788,0.554,0.650599105812,0.25,0.7
graph,mature,juvenile,0.755,0.5,0.601593625498,0.25,0.7
model,juvenile,mature,0.677,0.284,0.400141519251,0.25,0.7
graph,juvenile,mature,0.621,0.243,0.3493125,0.25,0.7
model,juvenile,juvenile,0.963,0.703,0.812711884754,0.25,0.7
graph,juvenile,juvenile,0.98,0.649,0.78087170043,0.25,0.7
model,mature,mature,0.727,0.324,0.448235965747,0.21,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.21,0.9
model,mature,juvenile,0.788,0.554,0.650599105812,0.21,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.21,0.9
model,juvenile,mature,0.667,0.27,0.38439701174,0.21,0.9
graph,juvenile,mature,0.667,0.27,0.38439701174,0.21,0.9
model,juvenile,juvenile,0.929,0.703,0.800351715686,0.21,0.9
graph,juvenile,juvenile,0.945,0.703,0.806231796117,0.21,0.9
model,mature,mature,0.716,0.649,0.680855677656,0.06,0.7
graph,mature,mature,0.721,0.662,0.690241503977,0.06,0.7
model,mature,juvenile,0.76,0.77,0.764967320261,0.06,0.7
graph,mature,juvenile,0.704,0.676,0.689715942029,0.06,0.7
model,juvenile,mature,0.694,0.338,0.454596899225,0.06,0.7
graph,juvenile,mature,0.71,0.297,0.418808341609,0.06,0.7
model,juvenile,juvenile,0.932,0.743,0.826837014925,0.06,0.7
graph,juvenile,juvenile,1.0,0.784,0.878923766816,0.06,0.7
model,mature,mature,0.933,0.189,0.314326203209,0.70,0.3
graph,mature,mature,0.933,0.189,0.314326203209,0.70,0.3
model,mature,juvenile,0.75,0.203,0.319517313746,0.70,0.3
graph,mature,juvenile,0.75,0.203,0.319517313746,0.70,0.3
model,juvenile,mature,0.762,0.216,0.336588957055,0.70,0.3
graph,juvenile,mature,0.737,0.189,0.300848812095,0.70,0.3
model,juvenile,juvenile,0.882,0.405,0.555104895105,0.70,0.3
graph,juvenile,juvenile,0.871,0.365,0.514425566343,0.70,0.3
model,mature,mature,0.71,0.297,0.418808341609,0.29,0.9
graph,mature,mature,0.704,0.257,0.376541103018,0.29,0.9
model,mature,juvenile,0.78,0.527,0.629013006886,0.29,0.9
graph,mature,juvenile,0.755,0.5,0.601593625498,0.29,0.9
model,juvenile,mature,0.714,0.27,0.391829268293,0.29,0.9
graph,juvenile,mature,0.654,0.23,0.340316742081,0.29,0.9
model,juvenile,juvenile,0.942,0.662,0.777561097257,0.29,0.9
graph,juvenile,juvenile,0.932,0.554,0.694923283984,0.29,0.9
model,mature,mature,0.735,0.338,0.463056849953,0.22,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.22,0.5
model,mature,juvenile,0.788,0.554,0.650599105812,0.22,0.5
graph,mature,juvenile,0.755,0.5,0.601593625498,0.22,0.5
model,juvenile,mature,0.677,0.284,0.400141519251,0.22,0.5
graph,juvenile,mature,0.633,0.257,0.365575280899,0.22,0.5
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.22,0.5
graph,juvenile,juvenile,0.964,0.716,0.821695238095,0.22,0.5
model,mature,mature,0.829,0.459,0.590855590062,0.15,0.3
graph,mature,mature,0.744,0.432,0.546612244898,0.15,0.3
model,mature,juvenile,0.725,0.676,0.699643112063,0.15,0.3
graph,mature,juvenile,0.698,0.595,0.642397525135,0.15,0.3
model,juvenile,mature,0.677,0.284,0.400141519251,0.15,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.15,0.3
model,juvenile,juvenile,0.946,0.716,0.81508543923,0.15,0.3
graph,juvenile,juvenile,0.982,0.73,0.837453271028,0.15,0.3
model,mature,mature,0.829,0.459,0.590855590062,0.11,0.3
graph,mature,mature,0.756,0.459,0.5712,0.11,0.3
model,mature,juvenile,0.729,0.689,0.708435825106,0.11,0.3
graph,mature,juvenile,0.697,0.622,0.657367702805,0.11,0.3
model,juvenile,mature,0.688,0.297,0.414895431472,0.11,0.3
graph,juvenile,mature,0.7,0.284,0.40406504065,0.11,0.3
model,juvenile,juvenile,0.947,0.73,0.824460345856,0.11,0.3
graph,juvenile,juvenile,0.982,0.757,0.854944220817,0.11,0.3
model,mature,mature,0.719,0.311,0.43419223301,0.26,0.5
graph,mature,mature,0.704,0.257,0.376541103018,0.26,0.5
model,mature,juvenile,0.78,0.527,0.629013006886,0.26,0.5
